feature,coefficient,absolute_coefficient,feature_clean,feature_family,direction
text__codes,-4.8324,4.8324,text: codes,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__better,-4.7166,4.7166,text: better,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
cat__company_grouped_Other,-4.4945,4.4945,company grouped Other,Company group,Lower predicted probability of timely response / higher non-timely risk
text__years ago,-4.4919,4.4919,text: years ago,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__forged,-4.3694,4.3694,text: forged,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__billing,-4.367,4.367,text: billing,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__provide,4.3509,4.3509,text: provide,Narrative text term,Higher predicted probability of timely response
text__disbursement,-4.3263,4.3263,text: disbursement,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__california,-4.1091,4.1091,text: california,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__coverage,-4.0987,4.0987,text: coverage,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__principal,4.0981,4.0981,text: principal,Narrative text term,Higher predicted probability of timely response
text__xxxx today,-3.9562,3.9562,text: xxxx today,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__calls xxxx,-3.9483,3.9483,text: calls xxxx,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__visa,-3.9231,3.9231,text: visa,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__dealer,-3.8987,3.8987,text: dealer,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__debit cards,-3.8587,3.8587,text: debit cards,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__person,3.7846,3.7846,text: person,Narrative text term,Higher predicted probability of timely response
text__robinhood,-3.773,3.773,text: robinhood,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_Block, Inc.",-3.7384,3.7384,"company grouped Block, Inc.",Company group,Lower predicted probability of timely response / higher non-timely risk
cat__sub_issue_You never received your bill or did not know a payment was due,3.7341,3.7341,sub issue You never received your bill or did not know a payment was due,Issue / sub-issue,Higher predicted probability of timely response
cat__company_grouped_Netspend Corporation,-3.7253,3.7253,company grouped Netspend Corporation,Company group,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_BANK OF AMERICA, NATIONAL ASSOCIATION",-3.7132,3.7132,"company grouped BANK OF AMERICA, NATIONAL ASSOCIATION",Company group,Lower predicted probability of timely response / higher non-timely risk
text__deposits,-3.6884,3.6884,text: deposits,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__fraudulent account,-3.6865,3.6865,text: fraudulent account,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__earned,-3.6795,3.6795,text: earned,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__atm,3.6755,3.6755,text: atm,Narrative text term,Higher predicted probability of timely response
text__updating,-3.6748,3.6748,text: updating,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__created,-3.6537,3.6537,text: created,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
"cat__company_grouped_Shellpoint Partners, LLC",-3.6471,3.6471,"company grouped Shellpoint Partners, LLC",Company group,Lower predicted probability of timely response / higher non-timely risk
text__package,-3.6362,3.6362,text: package,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__hsbc,-3.6258,3.6258,text: hsbc,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__citibank,-3.5716,3.5716,text: citibank,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__overdraft fee,-3.5463,3.5463,text: overdraft fee,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__today xxxx,-3.4958,3.4958,text: today xxxx,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__took xxxx,-3.495,3.495,text: took xxxx,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__cut,-3.4732,3.4732,text: cut,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__2500 00,-3.4369,3.4369,text: 2500 00,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
cat__company_grouped_TRUIST FINANCIAL CORPORATION,-3.4242,3.4242,company grouped TRUIST FINANCIAL CORPORATION,Company group,Lower predicted probability of timely response / higher non-timely risk
text__2500,-3.3792,3.3792,text: 2500,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
text__acknowledge,-3.3731,3.3731,text: acknowledge,Narrative text term,Lower predicted probability of timely response / higher non-timely risk
