section,summary
Objective,"This capstone project used CFPB consumer complaint data to examine, explain, and predict complaint resolution outcomes in retail banking. The study focused on response timeliness, company response outcomes, narrative value, and operational risk signals across product, issue, company, geography, and time."
Data,"The processed dataset contained 1,289,027 records and 26 columns after filtering for relevant retail banking products and the 2017-2025 study period. The dataset included structured complaint fields, company and geography variables, submission channel, customer tags, response information, and narrative-related features."
Target imbalance,"The timely-response target was highly imbalanced because most complaints received timely responses. This made accuracy alone misleading. The analysis therefore emphasized ROC-AUC, balanced accuracy, classwise precision and recall, F1-score, average precision, confusion matrices, and threshold analysis."
Best model,"The selected model was Structured random forest. It achieved ROC-AUC of 0.8748, F1-score of 0.8802, precision of 0.9966, recall of 0.7881, and average precision of 0.9978. The model was selected because it provided the strongest discrimination between timely and non-timely complaints."
Non-timely risk detection,"From the non-timely risk perspective, the selected model achieved ROC-AUC of 0.8748 and average precision of 0.1181. These results show that the model can rank complaints by delayed-response risk, although precision remains limited because non-timely cases are rare."
Threshold analysis,"The selected non-timely risk threshold was 0.80. At this threshold, the model flagged 341 complaints (0.76%), with non-timely precision of 0.2111, recall of 0.1137, and F1-score of 0.1478. The threshold should be treated as a business decision because lower thresholds catch more risk cases, while higher thresholds create smaller and more focused review queues."
RQ1: Product-level response risk,"Product type was associated with response-timeliness risk. Product and sub-product variables also contributed meaningfully to the final model. This supports product-level monitoring, staffing review, escalation controls, and workflow redesign. However, product type should be treated as one risk signal rather than a complete explanation of delayed response."
RQ2: Issue-level response patterns,"Complaint issue category was associated with company response outcomes and helped explain different resolution paths. Issue and sub-issue features were useful in model interpretation, supporting complaint routing, specialist assignment, issue-level prioritization, and root-cause analysis. Rare or unclear issue categories should still be reviewed carefully."
RQ3: Narrative value,"Customer-written narratives added useful information. The structured + TF-IDF model improved overall accuracy, timely recall, and timely F1-score compared with structured logistic regression. However, narrative features did not improve every imbalance-sensitive metric and reduced non-timely recall. Therefore, narrative text should be used as a supporting triage signal, not as a standalone risk-detection method."
RQ4: Company and geography signals,"Company and state variables added predictive value beyond complaint characteristics alone. The largest improvements appeared in balanced accuracy and ROC-AUC after company and state features were added. Company-level signals were especially important, but they should not be interpreted as direct company performance rankings because complaint volume, market share, product mix, customer base, and case complexity are not fully controlled."
Error analysis,"The error analysis showed that model errors were not random. Errors were concentrated in certain product groups, issue groups, company groups, states, and years. The broad 'Other' company group showed especially high error concentration, suggesting that the grouping strategy should be refined in future work."
Subgroup performance,"Subgroup performance varied across product, company, state, submission channel, and year. This means the model is not equally stable across all segments. Subgroup monitoring is necessary before any operational deployment to control false alerts, missed risks, and fairness concerns."
Company response outcome modeling,"The dominant company response outcome was Closed with explanation, representing 80.56% of records. The response outcome model showed useful directional value, especially for identifying relief-provided cases, but rare categories such as Other response and In progress were difficult to model reliably. A simplified relief-provided versus no-relief target may be more stable for future modeling."
Business value,"The analysis can support risk-based complaint triage, early-warning dashboards, product-level monitoring, issue-level operational review, company and geography monitoring, capacity planning, and governance reporting. The strongest business value comes from combining multiple signals rather than relying on one variable."
Governance,"The model should be used as decision support with human oversight. Operational use would require threshold governance, subgroup monitoring, drift tracking, privacy controls for narrative text, documentation of feature exclusions, audit evidence, and periodic retraining."
Final conclusion,"The project demonstrates that machine learning can provide useful early-warning signals for complaint response-timeliness risk in retail banking. The structured random forest was the strongest risk-detection model, while narrative features and company/state features provided additional insight. However, the results should be interpreted as predictive associations, not causal proof, and any operational use should remain human-in-the-loop."
