limitation,meaning,business_impact,mitigation
Public complaint data is not the full customer population.,"The dataset includes complaints submitted to the CFPB. It does not represent all customers, all internal complaints, or all customer-service interactions handled directly by companies.",Results should not be interpreted as a complete view of customer experience or company service quality.,"Use the findings for analytical insight and triage design, not as market-share, customer-experience, or company-quality rankings."
Observational data does not prove causation.,"The models identify statistical associations and predictive patterns, but they do not prove that a product, company, state, issue, or narrative term causes delayed response.",Business users may overinterpret model outputs as reasons for delay rather than risk signals.,"Use cautious language such as associated with, predictive of, linked to, or correlated with. Validate findings with operational subject-matter experts."
Class imbalance affects model behavior.,"Timely responses dominate the dataset, while non-timely complaints are rare. This makes accuracy misleading and makes rare-risk detection difficult.",A model can appear strong while failing to detect the minority non-timely class.,"Use balanced accuracy, ROC-AUC, PR-AUC, classwise precision and recall, F1-score, confusion matrices, and threshold analysis instead of relying on accuracy alone."
Non-timely precision remains low.,"The final random forest captured a large share of actual non-timely complaints, but many flagged complaints were still timely.",The model may create a false-alert burden for complaint review teams.,"Use the model as an early-warning triage tool with human review. Select thresholds based on review capacity, false-alert tolerance, and missed-risk tolerance."
Threshold choice is a business decision.,"Different risk thresholds create different trade-offs between catching more non-timely complaints and creating a smaller, higher-confidence alert queue.","A low threshold may create too many alerts, while a high threshold may miss many delayed-risk cases.","Document the selected threshold, flagged volume, precision, recall, F1-score, and workload impact. Review threshold performance periodically."
Narrative availability is incomplete.,Not every complaint includes a consumer narrative. Narrative analysis is therefore based only on records where text is available.,Text-based findings may not represent all complaints equally.,Report narrative coverage clearly and treat narrative features as supporting signals rather than the only basis for prediction.
Narrative text may contain sensitive or proxy information.,"Consumer narratives may include references to location, hardship, fraud, identity, account history, or other sensitive themes.","Text analytics may introduce privacy, fairness, or explainability concerns if used without governance.","Apply privacy controls, data minimization, human review, sensitive-term review, and responsible AI governance before operational use."
Narrative features improved some metrics but not all.,"The structured + TF-IDF model improved overall accuracy, timely recall, and timely F1-score, but it reduced balanced accuracy, non-timely recall, and non-timely ROC-AUC compared with the structured logistic model.","Narratives add value, but they do not automatically solve rare non-timely risk detection.","Use narrative features together with structured variables, threshold tuning, classwise metrics, and human review."
Company and state fields need careful interpretation.,"Company and state patterns may be influenced by complaint volume, customer base, market share, product mix, servicing model, reporting behavior, and case complexity.",Raw model signals could be misread as direct performance rankings.,Use company and geography signals for internal monitoring and governance review only. Avoid public ranking or causal interpretation without additional controls.
The broad 'Other' company group creates interpretation risk.,"The 'Other' company group had high feature importance and high error concentration, but it combines many smaller or less frequent companies.",The model may over-flag this group because it contains mixed complaint patterns.,"Refine company grouping in future work by separating smaller banks, fintech/payment firms, mortgage servicers, credit unions, and other low-volume institutions where possible."
High-cardinality categories may influence feature importance.,"Company, issue, sub-issue, and state fields contain many categories. Random forest feature importance can favor variables that create many possible splits.",Feature importance may overstate the apparent role of some categorical families.,"Use feature-family interpretation, grouped categories, coefficient review, subgroup analysis, and business subject-matter validation."
Subgroup performance varies across segments.,"Model performance differs by product, company group, state, submission channel, year, and customer tag.",Some segments may receive more false alerts or weaker risk detection than others.,"Monitor subgroup accuracy, balanced accuracy, precision, recall, false positives, and false negatives before any operational deployment."
Company response outcome classes are imbalanced.,"Most company responses are closed with explanation, while relief, other response, and in-progress outcomes are much less frequent.","The company-response model struggles with rare categories, especially In progress and Other response.","Consider simplifying the target to relief provided versus no relief provided, or merge rare categories for more stable modeling."
Possible data leakage must be controlled.,Fields created after complaint handling or company response may not be available at intake time and should not be used for early prediction.,Including post-response fields could make the model appear stronger than it would be in real operational use.,Exclude fields such as company_response_to_consumer and company_public_response from timely-response prediction. Document all feature exclusions and leakage controls.
Model results may drift over time.,"Complaint volumes, product definitions, reporting practices, company behavior, and operational processes can change across years.",A model trained on historical data may become less accurate if future complaint patterns change.,"Monitor year-level performance, track drift, refresh the model periodically, and validate performance on recent data."
External validity is limited.,"The model is trained on U.S. CFPB public complaint data and may not transfer directly to other jurisdictions, institutions, or internal bank complaint systems.",Operational use in another bank or region may produce different results.,"Validate locally using internal complaint data, local product definitions, local regulatory rules, and internal response workflows before deployment."
The model should not be used for automated complaint decisions.,"The model predicts risk patterns but does not determine the correct business, legal, or customer outcome.","Automated action could create fairness, compliance, or customer-treatment risks.","Use the model only as decision support. Keep human-in-the-loop review, escalation ownership, audit evidence, and approval controls."
