related_rq,finding_area,technical_finding,business_meaning,recommended_action,governance_note,priority
RQ3 / RQ4,Best predictive model,"The best model by ROC-AUC was Structured random forest with ROC-AUC of 0.8748, balanced accuracy of 0.8000, and F1-score of 0.8802.",Complaint metadata can be used to rank complaints by response-timeliness risk. The structured random forest provides the strongest balanced risk-detection performance among the tested models.,Use the structured random forest as the preferred model for response-timeliness risk triage and monitoring.,"Use the model as a decision-support tool, not as an automated decision-maker. Monitor drift, subgroup performance, false alerts, and missed-risk cases.",High
Model Evaluation,Accuracy limitation,"The dummy baseline achieved high accuracy because timely responses dominate the dataset, but its balanced accuracy and ROC-AUC were both 0.5000.",Accuracy alone is misleading in this imbalanced classification problem. A model can look accurate while failing to detect rare non-timely complaints.,"Use ROC-AUC, balanced accuracy, classwise precision, classwise recall, F1-score, average precision, confusion matrices, and threshold analysis.",Clearly disclose target imbalance in the final paper and avoid selecting models based on accuracy alone.,High
Model Evaluation,Non-timely risk threshold,"The selected tested non-timely risk threshold was 0.80. It flagged 341 records (0.76%), with non-timely precision of 0.2111, recall of 0.1137, and F1-score of 0.1478.","The selected threshold creates a smaller, higher-confidence risk queue. It improves alert quality, but it will miss many actual non-timely complaints.","Select the final operating threshold based on complaint-team review capacity. Use a lower threshold when the priority is to catch more delayed-risk cases, and a higher threshold when the priority is a smaller high-confidence queue.","Document the threshold rationale and review it periodically using recent complaints, false-alert rates, and missed-risk rates.",High
RQ3,Narrative value,"Adding TF-IDF narrative features improved accuracy, timely recall, and timely F1-score. However, it reduced balanced accuracy, non-timely recall, ROC-AUC for non-timely risk, and average precision for non-timely risk.","Customer-written narratives provide useful context and improve overall prediction, but they do not automatically improve rare non-timely risk detection.","Use narrative analytics as a supporting triage signal together with structured features. For operational use, combine text features with threshold tuning and human review.","Narratives are available only for part of the dataset and may contain sensitive customer details. Text features should be handled with privacy, fairness, and explainability controls.",Medium
RQ4,Company and geography signals,"Adding company and state features improved model performance beyond complaint characteristics alone. Balanced accuracy improved by 0.1418, and ROC-AUC improved by 0.1479.",Company and geography provide additional operational risk signals. Company-level signals appear especially important for predicting response timeliness.,"Use company and state features for internal monitoring, governance review, risk-based triage, and operational benchmarking.","Do not treat company or state features as direct public performance rankings. The model does not fully control for market share, customer base, complaint volume, product mix, or case complexity.",High
RQ1,Product-level error concentration,"The highest model error rate among product groups appears in: Payday loan, title loan, personal loan, or advance loan, with an error rate of 77.16%.",Some product groups have more complex or less stable complaint patterns. The model may over-flag these products as delayed-response risks.,"Review product-level complaint workflows, escalation rules, and model calibration for high-error products.",Do not infer causality from error concentration. Use product-level results as prompts for business review.,Medium
RQ2,Issue-level error concentration,"The highest model error rate among issue groups appears in: Charged fees or interest you didn't expect, with an error rate of 76.56%.","Certain complaint issues may involve greater operational complexity, unclear routing, or more variable response patterns.","Use issue-level monitoring to improve routing, triage, escalation, and response playbooks.",Pair model results with complaint operations and subject-matter expert review.,Medium
RQ4,Company-group error concentration,"The highest company-group error rate appears in: Other, with an error rate of 85.13%.","The broad company grouping may combine organizations with very different complaint patterns, making predictions less stable.","Refine the broad company grouping by separating smaller banks, fintech/payment firms, mortgage servicers, credit unions, and other low-volume institutions where possible.",Avoid using company-level model outputs as direct rankings. Review grouping logic and subgroup fairness.,High
Model Governance,Subgroup performance,"Subgroup results show that model performance varies across product, company, state, submission channel, and year groups.",The model is not equally stable across all segments. Some groups may receive more false alerts or weaker risk detection than others.,"Monitor subgroup accuracy, balanced accuracy, precision, recall, and false-alert rates before deployment.","Use subgroup monitoring to support fairness, transparency, and responsible AI governance.",High
RQ2,Company response outcome modeling,"The dominant company response outcome was Closed with explanation, representing 80.56% of records.",Company response prediction is affected by strong class imbalance. Rare response categories are difficult to model reliably.,"Consider simplifying the target to relief provided versus no relief provided, or merge rare categories such as Other response and In progress.","Use response outcome predictions for triage and analyst review, not automated response decisions.",Medium
Model Governance,Model governance,"The model is trained on observational public complaint data and reflects historical patterns in complaint submission, company response, product mix, and reporting practices.","The model can support complaint triage, monitoring, and governance review, but it cannot prove causality.","Use human review, model documentation, subgroup monitoring, threshold governance, and periodic retraining before any operational deployment.","Maintain model documentation, approval controls, audit evidence, privacy safeguards, and clear limitations in all reporting.",High
