date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,date_received_raw,date_sent_to_company_raw,year_received,month_received,quarter_received,timely_response_binary,has_narrative,narrative_length,received_to_sent_lag_days
2025-07-28 00:00:00+00:00,Mortgage,FHA mortgage,Trouble during payment process,Payment process,"Ever since this bank bought my mortgage I started having many issues were the bank was sending me my mortgage payments back. When I would do my payments by phone the next day they would call me saying they never received my payments and there was many other extra charges on my mortgage statements for inspection charges and other fees added. I would request mailed mortgage payments statements because I would always have issues viewing my statements online, also payments that I made and I have a reference number for werent on my mortgage statements. At XXXX time they made me pay XXXX to cover for my foreclosure and their Attorney fees. Every time I would call the bank they would give me run arounds and would resolve my claims. I submitted a consumer and business affairs request to help me solve the issue with my Bank and they disregarded their request and went on and sold my property leaving me and my daughters homeless. I had all my cashiers check payments that were returned saved up so when the consumer and business affairs would help me solve my problems I was able to pay my default balance in full.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,CA,90011,,Web,2025-07-28 00:00:00+00:00,Closed with explanation,Yes,14926162,2025-07-28,2025-07-28,2025,2025-07,2025Q3,1,1,1117,0.0
2025-01-18 00:00:00+00:00,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,,"I am writing to formally express my concerns regarding Zelle 's handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPB 's findings indicate that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams.This lack of accountability and transparency is unacceptable and raises serious concerns about consumer safety.",,"Early Warning Services, LLC",NJ,07018,,Web,2025-03-11 00:00:00+00:00,Closed with explanation,Yes,11637392,2025-01-18,2025-03-11,2025,2025-01,2025Q1,1,1,732,52.0
2025-11-11 00:00:00+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,"Hello, I am reaching out to request an investigative review into XXXX ongoing failure to address online scams and protect its users even when clear, documented proof is provided. 
I was recently scammed out of {$700.00} through a fraudulent XXXX profile : XXXX XXXX XXXXXXXX XXXX I submitted full evidence directly to XXXX through its reporting system, including screenshots of the conversations and payment details. Despite this, the profile remains active and continues to operate. 
I also filed a formal Internet Crime Complaint with the FBIs IC3 under confirmation code XXXX and escalated the case to the XXXX XXXX team, including CEO XXXX XXXX, XXXX XXXX XXXX, and Chief Legal XXXX XXXX XXXX. Still, XXXX has taken no visible action and provides no access to a live person for fraud victims. 
This isnt an isolated case XXXX automated system leaves victims with no recourse and effectively enables ongoing fraud. I believe this needs public attention to protect other users and hold XXXX accountable. 
I have all supporting documentation ready to share, including screenshots, transaction records, and my communications with both XXXX and law enforcement. 
Please let me know if I can provide these materials or speak with a producer for further details. 
Thank you for your time and for continuing to protect consumers.",,Meta Payments Inc.,IL,60185,,Web,2025-11-11 00:00:00+00:00,Closed with explanation,Yes,17159335,2025-11-11,2025-11-11,2025,2025-11,2025Q4,1,1,1325,0.0
2025-05-31 00:00:00+00:00,Checking or savings account,Checking account,Problem caused by your funds being low,Non-sufficient funds and associated fees,,,JPMORGAN CHASE & CO.,WI,53210,,Phone,2025-05-31 00:00:00+00:00,Closed with explanation,Yes,13799297,2025-05-31,2025-05-31,2025,2025-05,2025Q2,1,0,0,0.0
2021-10-21 00:00:00+00:00,Mortgage,Home equity loan or line of credit (HELOC),Closing on a mortgage,,,,TD BANK US HOLDING COMPANY,DC,20007,,Web,2021-10-21 00:00:00+00:00,Closed with non-monetary relief,Yes,4828576,2021-10-21,2021-10-21,2021,2021-10,2021Q4,1,0,0,0.0
2024-08-17 00:00:00+00:00,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,,Chime Financial Inc,CA,95831,,Web,2024-08-17 00:00:00+00:00,Closed with explanation,Yes,9833989,2024-08-17,2024-08-17,2024,2024-08,2024Q3,1,0,0,0.0
2025-06-24 00:00:00+00:00,Mortgage,Conventional home mortgage,Closing on a mortgage,Delays with the closing process,"The home was originally scheduled to close on XX/XX/year>. I worked with FILO Mortgage, and initially, the process went smoothlythe loan officer was responsive and helpful. 

FILO requested two appraisals. The first appraisal was ordered and paid for on XX/XX/year>. The report, dated XX/XX/year>, mentioned that the utilities were not turned on. It also included photos of a hole in the ceiling and standing water in the living room ( which the seller 's agent said was due to a rainstorm and a window not closing properly ). However, this report did not state that the ceiling needed to be repaired as a condition for loan approval. 

A second appraisal was ordered and paid for on XX/XX/year>. I received the final appraisal report on XX/XX/year>, and the lender received it a few days earlier. This second report also did not include any repair conditions related to the ceiling or water damage. 

Despite having the final report for several days, FILO Mortgage did not raise any issues. Then, on the day of closing ( XX/XX/year> ), they suddenly informed me that the underwriter was not approving the loan due to the ceiling and requested that it be repaired and leakage investigated. Since this was also the final day of my rate lock, I was charged {$830.00} to extend the lock for one more week. 

I reached out to the loan officer to request that the fee be waived, since the delay was due to their lack of actionnot minebut I never received any response. 

The loan eventually closed, and the servicing was transferred to XXXX. However, I believe this {$830.00} lock extension fee was charged unfairly due to the lenders internal delays and failure to act on appraisal information they had for days before closing. 

I am requesting a refund of this lock extension fee.",,"Filo Mortgage, L.L.C.",TN,37172,,Web,2025-06-24 00:00:00+00:00,Closed with explanation,Yes,14264841,2025-06-24,2025-06-24,2025,2025-06,2025Q2,1,1,1778,0.0
2020-11-03 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Card opened as result of identity theft or fraud,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,10453,,Web,2020-11-03 00:00:00+00:00,Closed with explanation,Yes,3934106,2020-11-03,2020-11-03,2020,2020-11,2020Q4,1,0,0,0.0
2023-06-23 00:00:00+00:00,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"The issue is causing me significant distress and XXXX, to the point where I'm having trouble sleeping. I implore you to rectify this as soon as possible. I have never missed a payment on this account, and I find it extremely unfair that I am now being penalized for something that is not my fault.",,"EQUIFAX, INC.",FL,344XX,,Web,2023-06-23 00:00:00+00:00,Closed with explanation,Yes,7160881,2023-06-23,2023-06-23,2023,2023-06,2023Q2,1,1,297,0.0
2025-04-21 00:00:00+00:00,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,,,,"Block, Inc.",SC,29611,,Web,2025-04-21 00:00:00+00:00,Closed with explanation,Yes,13094796,2025-04-21,2025-04-21,2025,2025-04,2025Q2,1,0,0,0.0
